sampleCount, trigNum, sensorReadTime, ax, ay, az, gx, gy, gz, mx, my, mz 
266,0000,25909,-0.25,0.52,-9.77,0.19,1.22,-0.06,7.61,8.46,24.48
267,0000,25930,-0.29,0.55,-9.79,0.02,1.50,-0.20,7.48,8.77,23.60
268,0000,25951,-0.32,0.53,-9.84,-0.01,1.59,-0.19,7.42,9.02,23.93
269,0000,25972,-0.28,0.55,-9.83,0.00,1.50,-0.31,7.85,8.67,24.20
270,0000,25993,-0.28,0.54,-9.79,0.22,1.24,-0.29,7.67,8.77,24.03
271,0000,26014,-0.32,0.54,-9.82,0.46,1.32,-0.15,8.21,8.39,23.14
272,0000,26035,-0.27,0.56,-9.76,0.11,1.32,-0.19,8.10,8.64,23.38
273,0000,26056,-0.27,0.55,-9.80,0.24,1.30,-0.05,8.30,8.11,24.71
274,0000,26077,-0.26,0.51,-9.81,0.12,1.41,-0.07,8.10,7.89,23.56
275,0000,26098,-0.32,0.56,-9.84,0.00,1.31,-0.09,8.37,8.42,23.19
276,0000,26119,-0.25,0.52,-9.76,0.05,1.47,-0.10,7.45,8.56,23.25
277,0000,26140,-0.31,0.54,-9.82,0.20,1.60,-0.08,7.88,9.06,23.69
278,0000,26161,-0.30,0.52,-9.83,0.20,1.50,-0.02,7.95,8.39,23.94
279,0000,26182,-0.32,0.56,-9.84,0.31,1.30,-0.06,8.04,8.35,23.21
280,0000,26203,-0.25,0.54,-9.78,0.19,1.48,-0.17,7.86,8.74,23.56
281,0000,26224,-0.32,0.55,-9.83,0.21,1.59,-0.15,7.63,8.40,23.53
282,0000,26245,-0.32,0.54,-9.82,0.30,1.52,-0.24,7.88,8.23,24.01
283,0000,26266,-0.16,0.53,-9.80,0.51,1.36,-0.07,7.40,8.86,23.43
284,0000,26287,-0.24,0.54,-9.78,0.31,1.54,-0.10,7.34,8.96,23.36
285,0000,26308,-0.32,0.57,-9.81,0.24,1.47,-0.05,7.47,9.34,23.17
286,0000,26329,-0.25,0.54,-9.79,0.20,1.21,-0.09,7.88,8.32,24.06
287,0000,26350,-0.25,0.54,-9.77,0.24,1.64,-0.24,7.37,8.68,24.52
288,0000,26371,-0.34,0.55,-9.87,0.12,1.36,-0.09,7.63,8.67,24.55
289,0000,26392,-0.34,0.52,-9.83,0.13,1.29,-0.18,7.97,8.48,24.64
